ID,Difference
0x0000000000000b30,0.372736
0x0000000000000b31,0.373248
0x0000000000000b32,0.379648
0x0000000000000b33,0.372736
0x0000000000000b34,0.361472
0x0000000000000b35,0.37504
0x0000000000000b36,0.382976
0x0000000000000b37,0.38144
0x0000000000000b38,0.383232
0x0000000000000b39,0.380672
0x0000000000000b3a,0.382208
0x0000000000000b3b,0.360448
0x0000000000000b3c,0.382208
0x0000000000000b3d,0.39424
0x0000000000000b3e,0.388352
0x0000000000000b3f,0.376576
0x0000000000000b40,0.381696
0x0000000000000b41,0.360192
0x0000000000000b42,0.356864
0x0000000000000b43,0.363776
0x0000000000000b44,0.373248
0x0000000000000b45,0.381184
0x0000000000000b46,0.36352
0x0000000000000b47,0.38144
0x0000000000000b48,0.365056
0x0000000000000b49,0.361216
0x0000000000000b4a,0.3584
0x0000000000000b4b,0.380672
0x0000000000000b4c,0.358144
0x0000000000000b4d,0.357632
0x0000000000000b4e,0.363008
0x0000000000000b4f,0.379136
0x0000000000000b50,0.364544
0x0000000000000b51,0.380672
0x0000000000000b52,0.35968
0x0000000000000b53,0.363008
0x0000000000000b54,0.36096
0x0000000000000b55,0.380928
0x0000000000000b56,0.379904
0x0000000000000b57,0.361472
0x0000000000000b58,0.379392
0x0000000000000b59,0.379904
0x0000000000000b5a,0.363776
0x0000000000000b5b,0.372224
0x0000000000000b5c,0.380416
0x0000000000000b5d,0.379904
0x0000000000000b5e,0.3648
0x0000000000000b5f,0.37888
0x0000000000000b60,0.380416
0x0000000000000b61,0.364288
0x0000000000000b62,0.372224
0x0000000000000b63,0.369664
0x0000000000000b64,0.372992
0x0000000000000b65,0.365056
0x0000000000000b66,0.374016
0x0000000000000b67,0.380672
0x0000000000000b68,0.363264
0x0000000000000b69,0.372224
0x0000000000000b6a,0.381952
0x0000000000000b6b,0.38016
0x0000000000000b6c,0.361472
0x0000000000000b6d,0.373504
0x0000000000000b6e,0.379392
0x0000000000000b6f,0.679936
0x0000000000000b70,0.675072
0x0000000000000b71,0.374016
0x0000000000000b72,0.3712
0x0000000000000b73,0.361216
0x0000000000000b74,0.361216
0x0000000000000b75,0.657664
0x0000000000000b76,0.3712
0x0000000000000b77,0.37248
0x0000000000000b78,0.38144
0x0000000000000b79,0.380416
0x0000000000000b7a,1.236992
0x0000000000000b7b,0.664576
0x0000000000000b7c,0.658176
0x0000000000000b7d,0.36352
0x0000000000000b7e,0.380928
0x0000000000000b7f,0.372736
0x0000000000000b80,0.362752
0x0000000000000b81,0.379904
0x0000000000000b82,0.38016
0x0000000000000b83,0.380672
0x0000000000000b84,0.361728
0x0000000000000b85,0.378624
0x0000000000000b86,0.360448
